temperature,humidity,pressure,wind_speed,cloud_cover,month,day,rain_tomorrow
87.3,36,941.5,6.9,29,6,14,0
83.3,41,940.5,4.6,27,6,14,0
81.3,44,941.5,5.7,25,6,15,1
88.0,37,942.5,6.9,18,6,15,1
97.0,27,943.5,9.2,17,6,15,0
103.6,20,940.5,11.5,27,6,15,0
104.2,19,939.5,15.0,31,6,15,0
95.7,25,940.0,12.7,31,6,15,1
88.5,33,940.5,6.9,24,6,15,0
84.6,39,940.5,3.4,18,6,15,0
81.9,45,941.5,2.3,15,6,16,0
90.7,35,943.0,4.6,7,6,16,0
100.2,26,942.5,8.1,13,6,16,1
105.4,20,940.5,10.4,26,6,16,0
105.4,19,939.0,16.1,34,6,16,0
96.1,26,939.5,13.8,37,6,16,1
89.8,32,940.5,6.9,27,6,16,0
85.8,38,940.0,4.6,24,6,16,0
83.1,43,941.0,3.4,20,6,17,0
91.8,34,942.5,4.6,8,6,17,0
99.9,27,942.5,9.2,20,6,17,0
106.0,20,942.0,13.8,27,6,17,0
105.4,20,939.5,16.1,37,6,17,0
96.6,27,940.0,15.0,43,6,17,1
89.4,35,940.0,12.7,35,6,17,0
85.8,40,939.5,6.9,30,6,17,1
82.8,45,941.5,4.6,28,6,18,1
91.0,35,942.0,8.1,16,6,18,0
98.8,27,940.5,8.1,23,6,18,0
102.9,22,938.0,12.7,34,6,18,0
102.4,21,937.0,15.0,46,6,18,0
93.9,28,936.5,18.4,54,6,18,0
88.2,34,937.0,12.7,42,6,18,0
84.2,40,936.0,5.7,36,6,18,0
81.3,46,938.5,5.7,39,6,19,0
89.6,36,939.0,6.9,30,6,19,1
96.8,29,938.5,10.4,35,6,19,0
101.8,23,915.0,11.5,43,6,19,1
100.0,23,913.5,13.8,53,6,19,1
88.9,35,914.0,20.7,60,6,19,1
