temperature,humidity,pressure,wind_speed,cloud_cover,month,day,rain_tomorrow
88.3,73,1001.5,10.4,54,6,14,0
87.6,76,1000.5,8.1,53,6,14,1
86.9,78,1000.5,8.1,57,6,15,1
88.5,74,1002.5,6.9,57,6,15,0
93.4,61,1002.0,9.2,58,6,15,1
96.1,57,1000.5,11.5,53,6,15,0
93.6,63,1000.0,12.7,48,6,15,0
89.2,72,1001.0,9.2,55,6,15,1
88.3,75,1002.0,9.2,52,6,15,0
87.4,77,1001.0,6.9,50,6,15,0
87.1,78,1001.5,6.9,46,6,16,0
88.9,73,1003.0,8.1,49,6,16,0
94.1,60,1003.0,10.4,54,6,16,0
96.8,57,1001.5,12.7,42,6,16,0
94.5,60,1000.5,12.7,41,6,16,1
89.2,72,1001.5,9.2,54,6,16,0
88.2,76,1002.5,9.2,52,6,16,0
87.6,77,1002.0,9.2,53,6,16,0
87.3,78,1002.0,8.1,51,6,17,0
89.2,73,1003.0,8.1,55,6,17,1
94.5,60,1003.0,10.4,52,6,17,0
97.2,56,1002.0,12.7,49,6,17,1
94.5,60,1001.0,12.7,46,6,17,0
89.6,72,1002.0,10.4,57,6,17,0
88.7,75,1002.5,10.4,55,6,17,0
87.6,77,1001.5,9.2,54,6,17,0
87.3,77,1001.0,9.2,53,6,18,1
89.2,73,1002.0,9.2,58,6,18,0
94.3,61,1001.5,11.5,57,6,18,1
96.1,60,1000.0,13.8,52,6,18,0
93.7,64,998.5,13.8,56,6,18,0
89.2,75,999.0,11.5,65,6,18,1
88.9,77,1000.0,10.4,62,6,18,1
87.8,79,998.0,10.4,59,6,18,0
87.4,80,997.5,9.2,57,6,19,0
89.2,74,998.0,10.4,66,6,19,0
93.6,66,998.0,12.7,61,6,19,0
95.4,63,986.5,15.0,54,6,19,0
92.8,69,985.0,15.0,53,6,19,1
88.5,78,986.5,13.8,64,6,19,0
