temperature,humidity,pressure,wind_speed,cloud_cover,month,day,rain_tomorrow
95.4,37,973.0,2.3,9,6,14,1
91.2,42,972.5,1.1,12,6,14,0
88.5,47,973.0,1.1,17,6,15,0
93.2,40,975.0,2.3,13,6,15,0
102.6,29,974.5,3.4,2,6,15,0
107.6,24,972.5,4.6,7,6,15,1
107.6,24,972.0,4.6,6,6,15,0
101.7,30,972.0,2.3,4,6,15,1
97.0,36,972.5,2.3,2,6,15,1
93.4,41,972.5,2.3,5,6,15,1
91.4,44,974.0,1.1,9,6,16,0
95.4,40,975.5,2.3,7,6,16,0
103.8,30,975.0,3.4,3,6,16,0
108.9,24,972.5,5.7,5,6,16,1
108.3,24,971.0,5.7,10,6,16,0
102.4,31,971.5,2.3,4,6,16,0
97.5,36,972.0,4.6,6,6,16,1
94.3,41,972.0,2.3,12,6,16,1
91.8,46,973.5,1.1,15,6,17,1
95.7,42,975.0,2.3,17,6,17,0
102.9,33,974.0,3.4,8,6,17,0
107.4,27,972.0,5.7,7,6,17,0
107.4,26,970.0,5.7,8,6,17,0
101.3,33,971.0,3.4,11,6,17,0
97.0,39,972.0,4.6,11,6,17,0
93.0,44,971.5,2.3,13,6,17,0
91.0,49,972.5,1.1,17,6,18,0
94.8,44,973.5,1.1,16,6,18,1
102.4,34,972.0,3.4,11,6,18,1
107.1,28,969.0,6.9,13,6,18,0
107.1,28,967.0,5.7,11,6,18,0
101.3,35,968.0,3.4,15,6,18,0
95.5,41,968.5,4.6,19,6,18,0
91.6,46,968.0,2.3,20,6,18,0
88.7,51,970.5,2.3,32,6,19,0
92.1,47,972.0,2.3,35,6,19,0
98.4,39,971.0,4.6,16,6,19,1
102.9,33,967.5,6.9,15,6,19,0
102.9,31,965.0,4.6,21,6,19,0
95.9,40,965.0,2.3,28,6,19,0
