temperature,humidity,pressure,wind_speed,cloud_cover,month,day,rain_tomorrow
88.0,51,962.5,1.3,0,6,14,0
82.5,63,962.5,2.5,0,6,14,1
80.3,66,963.0,2.0,0,6,15,0
89.9,47,965.0,1.8,0,6,15,0
101.4,25,964.5,3.2,0,6,15,0
109.6,17,961.5,1.7,31,6,15,0
107.7,18,960.5,8.1,40,6,15,1
98.2,31,961.0,2.6,0,6,15,0
88.6,48,961.5,1.8,0,6,15,0
84.6,56,962.0,1.9,0,6,15,0
83.1,60,963.5,1.6,0,6,16,0
90.8,47,965.0,0.9,0,6,16,0
104.6,22,964.5,2.0,0,6,16,1
112.5,17,961.5,0.8,0,6,16,1
112.2,16,959.0,1.8,0,6,16,0
96.2,36,961.0,5.1,73,6,16,0
88.1,47,962.5,3.5,0,6,16,1
83.6,49,962.0,3.1,0,6,16,0
80.5,56,962.5,1.8,0,6,17,1
91.6,44,964.0,1.0,0,6,17,0
107.0,17,963.5,2.9,0,6,17,0
109.5,17,962.5,12.5,0,6,17,1
109.1,17,960.0,9.0,0,6,17,1
99.5,25,961.0,3.7,38,6,17,1
91.9,39,962.0,2.6,0,6,17,0
86.7,50,961.5,1.5,0,6,17,0
83.6,73,963.0,2.0,0,6,18,0
91.0,55,964.0,3.0,0,6,18,1
103.6,24,962.5,2.6,0,6,18,0
112.3,14,959.0,1.7,0,6,18,0
111.0,16,956.5,8.6,46,6,18,0
99.3,26,956.5,4.7,0,6,18,0
90.4,50,957.5,0.6,0,6,18,0
85.2,47,958.0,2.7,0,6,18,0
83.2,47,959.0,4.4,0,6,19,1
91.5,42,960.5,1.6,0,6,19,0
99.5,25,960.5,5.6,34,6,19,0
109.5,9,947.0,6.4,20,6,19,0
103.3,15,946.0,21.3,100,6,19,0
93.5,23,946.0,10.6,0,6,19,1
