temperature,humidity,pressure,wind_speed,cloud_cover,month,day,rain_tomorrow
78.6,27,806.0,4.9,4,6,14,0
75.1,31,805.5,5.7,1,6,14,0
71.0,31,805.5,5.0,0,6,15,0
78.3,21,807.0,1.3,2,6,15,0
85.8,12,807.0,5.7,3,6,15,0
89.8,10,806.0,7.7,2,6,15,0
90.7,9,805.0,16.7,8,6,15,0
84.3,11,805.5,6.9,0,6,15,1
78.5,23,807.0,4.7,0,6,15,0
75.1,33,806.5,5.3,2,6,15,1
72.4,39,807.0,6.0,0,6,16,0
78.8,34,808.5,1.9,2,6,16,1
87.1,14,808.5,4.9,3,6,16,1
92.0,9,807.5,12.1,1,6,16,0
91.8,9,806.0,14.6,0,6,16,1
85.1,12,806.5,5.1,4,6,16,0
79.1,16,807.5,1.5,1,6,16,0
75.9,17,807.0,1.9,48,6,16,0
73.1,18,807.0,1.2,0,6,17,1
81.9,13,808.5,1.3,0,6,17,0
88.3,11,808.5,6.5,0,6,17,0
92.8,9,807.5,12.0,3,6,17,0
91.7,9,806.5,9.6,0,6,17,0
85.6,12,806.5,9.6,0,6,17,1
78.8,15,807.5,1.4,0,6,17,0
75.3,16,806.5,1.6,0,6,17,0
73.1,16,806.0,4.5,0,6,18,0
81.8,12,807.0,4.0,0,6,18,0
87.4,11,806.5,7.2,0,6,18,1
92.0,7,805.0,8.9,0,6,18,0
91.7,7,804.0,13.4,0,6,18,1
84.4,9,804.0,6.3,0,6,18,0
79.3,11,804.0,3.9,0,6,18,1
76.0,12,802.5,3.7,0,6,18,0
71.9,15,802.5,4.2,0,6,19,0
80.9,12,803.0,3.9,0,6,19,1
88.1,11,803.0,6.9,0,6,19,0
92.0,9,802.0,14.1,0,6,19,0
91.1,8,801.0,14.0,0,6,19,0
83.4,10,801.0,3.9,0,6,19,1
